,Data,RU_A,RA_A,RS_A,Total_A,RU_J,RA_J,RS_J,Total_J,Total_Dia,Dia_Semana,Mes,Dia,Ano,refeicao,acompanhamento,prato,guarnicao,opcao_vegetal,salada,sobremesa,suco
0,2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Segunda,1,1,2024,,,,,,,,
1,2024-01-02,870.0,142.0,0.0,1012.0,400.0,50.0,0.0,450.0,1462.0,Terça,1,2,2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,STROGONOFF DE FRANGO,BATATA PALHA,,SALADA DE BETERRABA RALADA,LARANJA,SUCO DE GOIABA
2,2024-01-02,870.0,142.0,0.0,1012.0,400.0,50.0,0.0,450.0,1462.0,Terça,1,2,2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,STROGONOFF VEGANO (PTS),BATATA PALHA,,SALADA DE BETERRABA RALADA,LARANJA,SUCO DE GOIABA
3,2024-01-02,870.0,142.0,0.0,1012.0,400.0,50.0,0.0,450.0,1462.0,Terça,1,2,2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,"BIFE AO MOLHO ROTY (CALDO DE CARNE, MOLHO SHOYO, MARGARINA E FARINHA DE TRIGO)",QUIBEBE,,SALADA DE ACELGA COM RABANETE,COCADA,SUCO DE GOIABA
4,2024-01-02,870.0,142.0,0.0,1012.0,400.0,50.0,0.0,450.0,1462.0,Terça,1,2,2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,FEIJÃO BRANCO COM QUIABO,QUIBEBE,,SALADA DE ACELGA COM RABANETE,MAÇÃ,SUCO DE GOIABA
5,2024-01-03,1069.0,207.0,0.0,1276.0,482.0,72.0,0.0,554.0,1830.0,Quarta,1,3,2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,PERNIL ASSADO AO MOLHO ESCURO (MOLHOS SHOYO E INGLÊS),REPOLHO REFOGADO COM CHEIRO VERDE,,SALADA DE ALMEIRÃO COM NABO,MAÇÃ,SUCO DE UVA
6,2024-01-03,1069.0,207.0,0.0,1276.0,482.0,72.0,0.0,554.0,1830.0,Quarta,1,3,2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,FEIJÃO BRANCO  COM VAGEM E ABÓBORA,REPOLHO REFOGADO COM CHEIRO VERDE,,SALADA DE ALMEIRÃO COM NABO,MAÇÃ,SUCO DE UVA
7,2024-01-03,1069.0,207.0,0.0,1276.0,482.0,72.0,0.0,554.0,1830.0,Quarta,1,3,2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,ISCAS DE FRANGO ACEBOLADO,CREME DE MILHO,,SALADA DE PEPINO COM TOMATE,BANANA,SUCO DE UVA
8,2024-01-03,1069.0,207.0,0.0,1276.0,482.0,72.0,0.0,554.0,1830.0,Quarta,1,3,2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,ERVILHA PARTIDA COM CENOURA E PIMENTÃO VERMELHO,CREME DE MILHO VEGANO,,SALADA DE PEPINO COM TOMATE,BANANA,SUCO DE UVA
9,2024-01-04,1177.0,208.0,0.0,1385.0,608.0,83.0,0.0,691.0,2076.0,Quinta,1,4,2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,CARNE DE PANELA  COM AZEITONA,CENOURA PALITO SAUTÉ,,SALADA DE ESCAROLA,COCADA,SUCO DE ACEROLA
